scenario_id,grid_elec_import_Wh,grid_elec_export_Wh,electricity_demand_baseload_Wh,ev_charging_demand_Wh,electricity_demand_heatpump_Wh,solar_pv_generation_Wh,battery_charging_demand_Wh,battery_generation_Wh,gas_demand_Wh,grid_elec_import_cost,electricity_export_income,gas_import_cost,vehicle_id,vehicle_name,vehicle_type,vehicle_fuel_type,vehicle_miles_per_gallon,vehicle_cost,vehicle_currency,vehicle_wh_per_mile,vehicle_max_charge_rate_watts,vehicle_battery_capacity_Wh,battery_storage_id,battery_storage_name,battery_storage_capacity_Wh,battery_storage_charging_efficiency,battery_storage_cost,battery_storage_currency,battery_storage_max_discharge_rate_watts,battery_storage_max_charge_rate_watts,heating_system_id,heating_system_name,heating_system_type,heating_system_fuel_type,heating_system_efficiency,heating_system_cost,heating_system_currency,heating_system_max_power_watts,solar_pv_id,solar_pv_name,solar_pv_conversion_efficiency,solar_pv_system_size_Wp,solar_pv_cost,solar_pv_currency,ev_charger_id,ev_charger_name,ev_charger_max_charge_rate_watts,ev_charger_efficiency,ev_charger_cost,ev_charger_currency,tariff_id,tariff_name,tariff_requires_smart_meter,electricity_standing_charge_daily,gas_standing_charge_daily,location_id,location_name,annual_electricity_consumption_kWh,annual_gas_consumption_kWh,daily_miles_driven,profile_id,electricity_profile_multiplier,electricity_demand_ev_daily_Wh,vehicle_litres_fuel_annual
1,2200000.0,0.0,2200000.0,0.0,0.0,0.0,0.0,0.0,10000000.0,607.8599999999999,0.0,728.0000000000001,0,Typical Petrol/Diesel Car,ICE Vehicle,gasoline,40.0,37000,GBP,0.0,0.0,0.0,0,No Battery Storage,0,1.0,0,GBP,0.0,0.0,0,Typical Gas Boiler,Gas Boiler,gas,1.0,2000,GBP,0.0,0,No Solar PV,1.0,0,0.0,GBP,0,Standard 3-Pin Home Socket,2000,0.95,0,GBP,0,Flexible Octopus - April 2022 Price Cap,False,0.4448,0.2722,0,Thames,2200,10000,20,0,6.027397260273973,0.0,829.661425
2,2200000.0,0.0,2200000.0,0.0,0.0,0.0,0.0,0.0,10000000.0,607.8599999999999,0.0,728.0000000000001,0,Typical Petrol/Diesel Car,ICE Vehicle,gasoline,40.0,37000,GBP,0.0,0.0,0.0,0,No Battery Storage,0,1.0,0,GBP,0.0,0.0,0,Typical Gas Boiler,Gas Boiler,gas,1.0,2000,GBP,0.0,0,No Solar PV,1.0,0,0.0,GBP,0,Standard 3-Pin Home Socket,2000,0.95,0,GBP,0,Flexible Octopus - April 2022 Price Cap,False,0.4448,0.2722,0,Thames,2200,10000,50,0,6.027397260273973,0.0,2074.1535625
3,2200000.0,0.0,2200000.0,0.0,0.0,0.0,0.0,0.0,10000000.0,607.8599999999999,0.0,728.0000000000001,0,Typical Petrol/Diesel Car,ICE Vehicle,gasoline,40.0,37000,GBP,0.0,0.0,0.0,0,No Battery Storage,0,1.0,0,GBP,0.0,0.0,0,Typical Gas Boiler,Gas Boiler,gas,1.0,2000,GBP,0.0,0,No Solar PV,1.0,0,0.0,GBP,0,Standard 3-Pin Home Socket,2000,0.95,0,GBP,0,Flexible Octopus - April 2022 Price Cap,False,0.4448,0.2722,0,Thames,2200,10000,100,0,6.027397260273973,0.0,4148.307125
5,2200000.0,0.0,2200000.0,0.0,0.0,0.0,0.0,0.0,12000000.000000002,607.8599999999999,0.0,873.6000000000001,0,Typical Petrol/Diesel Car,ICE Vehicle,gasoline,40.0,37000,GBP,0.0,0.0,0.0,0,No Battery Storage,0,1.0,0,GBP,0.0,0.0,0,Typical Gas Boiler,Gas Boiler,gas,1.0,2000,GBP,0.0,0,No Solar PV,1.0,0,0.0,GBP,0,Standard 3-Pin Home Socket,2000,0.95,0,GBP,0,Flexible Octopus - April 2022 Price Cap,False,0.4448,0.2722,0,Thames,2200,12000,20,0,6.027397260273973,0.0,829.661425
6,2200000.0,0.0,2200000.0,0.0,0.0,0.0,0.0,0.0,12000000.000000002,607.8599999999999,0.0,873.6000000000001,0,Typical Petrol/Diesel Car,ICE Vehicle,gasoline,40.0,37000,GBP,0.0,0.0,0.0,0,No Battery Storage,0,1.0,0,GBP,0.0,0.0,0,Typical Gas Boiler,Gas Boiler,gas,1.0,2000,GBP,0.0,0,No Solar PV,1.0,0,0.0,GBP,0,Standard 3-Pin Home Socket,2000,0.95,0,GBP,0,Flexible Octopus - April 2022 Price Cap,False,0.4448,0.2722,0,Thames,2200,12000,50,0,6.027397260273973,0.0,2074.1535625
7,2200000.0,0.0,2200000.0,0.0,0.0,0.0,0.0,0.0,12000000.000000002,607.8599999999999,0.0,873.6000000000001,0,Typical Petrol/Diesel Car,ICE Vehicle,gasoline,40.0,37000,GBP,0.0,0.0,0.0,0,No Battery Storage,0,1.0,0,GBP,0.0,0.0,0,Typical Gas Boiler,Gas Boiler,gas,1.0,2000,GBP,0.0,0,No Solar PV,1.0,0,0.0,GBP,0,Standard 3-Pin Home Socket,2000,0.95,0,GBP,0,Flexible Octopus - April 2022 Price Cap,False,0.4448,0.2722,0,Thames,2200,12000,100,0,6.027397260273973,0.0,4148.307125
9,2200000.0,0.0,2200000.0,0.0,0.0,0.0,0.0,0.0,14000000.000000002,607.8599999999999,0.0,1019.2000000000002,0,Typical Petrol/Diesel Car,ICE Vehicle,gasoline,40.0,37000,GBP,0.0,0.0,0.0,0,No Battery Storage,0,1.0,0,GBP,0.0,0.0,0,Typical Gas Boiler,Gas Boiler,gas,1.0,2000,GBP,0.0,0,No Solar PV,1.0,0,0.0,GBP,0,Standard 3-Pin Home Socket,2000,0.95,0,GBP,0,Flexible Octopus - April 2022 Price Cap,False,0.4448,0.2722,0,Thames,2200,14000,20,0,6.027397260273973,0.0,829.661425
10,2200000.0,0.0,2200000.0,0.0,0.0,0.0,0.0,0.0,14000000.000000002,607.8599999999999,0.0,1019.2000000000002,0,Typical Petrol/Diesel Car,ICE Vehicle,gasoline,40.0,37000,GBP,0.0,0.0,0.0,0,No Battery Storage,0,1.0,0,GBP,0.0,0.0,0,Typical Gas Boiler,Gas Boiler,gas,1.0,2000,GBP,0.0,0,No Solar PV,1.0,0,0.0,GBP,0,Standard 3-Pin Home Socket,2000,0.95,0,GBP,0,Flexible Octopus - April 2022 Price Cap,False,0.4448,0.2722,0,Thames,2200,14000,50,0,6.027397260273973,0.0,2074.1535625
11,2200000.0,0.0,2200000.0,0.0,0.0,0.0,0.0,0.0,14000000.000000002,607.8599999999999,0.0,1019.2000000000002,0,Typical Petrol/Diesel Car,ICE Vehicle,gasoline,40.0,37000,GBP,0.0,0.0,0.0,0,No Battery Storage,0,1.0,0,GBP,0.0,0.0,0,Typical Gas Boiler,Gas Boiler,gas,1.0,2000,GBP,0.0,0,No Solar PV,1.0,0,0.0,GBP,0,Standard 3-Pin Home Socket,2000,0.95,0,GBP,0,Flexible Octopus - April 2022 Price Cap,False,0.4448,0.2722,0,Thames,2200,14000,100,0,6.027397260273973,0.0,4148.307125
13,2900000.0,0.0,2900000.0,0.0,0.0,0.0,0.0,0.0,10000000.0,801.27,0.0,728.0000000000001,0,Typical Petrol/Diesel Car,ICE Vehicle,gasoline,40.0,37000,GBP,0.0,0.0,0.0,0,No Battery Storage,0,1.0,0,GBP,0.0,0.0,0,Typical Gas Boiler,Gas Boiler,gas,1.0,2000,GBP,0.0,0,No Solar PV,1.0,0,0.0,GBP,0,Standard 3-Pin Home Socket,2000,0.95,0,GBP,0,Flexible Octopus - April 2022 Price Cap,False,0.4448,0.2722,0,Thames,2900,10000,20,0,7.945205479452055,0.0,829.661425
